Individual,Base_HR_TD_Median,Base_TEMP_TD_Mean,Base_EDA_TD_P_AUC,Base_EDA_TD_P_Peaks,Base_EDA_TD_T_AUC,P2R1_HR_TD_Median,P2R1_TEMP_TD_Mean,P2R1_EDA_TD_P_AUC,P2R1_EDA_TD_P_Peaks,P2R1_EDA_TD_T_AUC,P2R2_HR_TD_Median,P2R2_TEMP_TD_Mean,P2R2_EDA_TD_P_AUC,P2R2_EDA_TD_P_Peaks,P2R2_EDA_TD_T_AUC,P2R3_HR_TD_Median,P2R3_TEMP_TD_Mean,P2R3_EDA_TD_P_AUC,P2R3_EDA_TD_P_Peaks,P2R3_EDA_TD_T_AUC,P2R4_HR_TD_Median,P2R4_TEMP_TD_Mean,P2R4_EDA_TD_P_AUC,P2R4_EDA_TD_P_Peaks,P2R4_EDA_TD_T_AUC,P3R1_EDA_TD_P_ReT,P3R2_EDA_TD_P_ReT,P3R3_EDA_TD_P_ReT,P3R4_EDA_TD_P_ReT,Base_PA,Base_NA,P2R1_PA,P2R1_NA,P2R2_PA,P2R2_NA,P2R3_PA,P2R3_NA,P2R4_PA,P2R4_NA,std_HR, std_TEMP,std_EDA_P,std_EDA_T,computed_std_PA,computed_std_NA,d_P2R1_EDA_TD_P_AUC,d_P2R2_EDA_TD_P_AUC,d_P2R3_EDA_TD_P_AUC,d_P2R4_EDA_TD_P_AUC,d_P2R1_EDA_TD_T_AUC,d_P2R2_EDA_TD_T_AUC,d_P2R3_EDA_TD_T_AUC,d_P2R4_EDA_TD_T_AUC,d_P2R1_HR_TD_Median,d_P2R2_HR_TD_Median,d_P2R3_HR_TD_Median,d_P2R4_HR_TD_Median,d_P2R1_TEMP_TD_Mean,d_P2R2_TEMP_TD_Mean,d_P2R3_TEMP_TD_Mean,d_P2R4_TEMP_TD_Mean,d_P2R1_PA,d_P2R2_PA,d_P2R3_PA,d_P2R4_PA,d_P2R1_NA,d_P2R2_NA,d_P2R3_NA,d_P2R4_NA,d_P2R2_EDA_TD_P_AUC_vs_P2R1_EDA_TD_P_AUC,d_P2R3_EDA_TD_P_AUC_vs_P2R2_EDA_TD_P_AUC,d_P2R4_EDA_TD_P_AUC_vs_P2R3_EDA_TD_P_AUC,d_P2R2_EDA_TD_T_AUC_vs_P2R1_EDA_TD_T_AUC,d_P2R3_EDA_TD_T_AUC_vs_P2R2_EDA_TD_T_AUC,d_P2R4_EDA_TD_T_AUC_vs_P2R3_EDA_TD_T_AUC,d_P2R2_HR_TD_Median_vs_P2R1_HR_TD_Median,d_P2R3_HR_TD_Median_vs_P2R2_HR_TD_Median,d_P2R4_HR_TD_Median_vs_P2R3_HR_TD_Median,d_P2R2_TEMP_TD_Mean_vs_P2R1_TEMP_TD_Mean,d_P2R3_TEMP_TD_Mean_vs_P2R2_TEMP_TD_Mean,d_P2R4_TEMP_TD_Mean_vs_P2R3_TEMP_TD_Mean,d_P2R2_PA_vs_P2R1_PA,d_P2R3_PA_vs_P2R2_PA,d_P2R4_PA_vs_P2R3_PA,d_P2R2_NA_vs_P2R1_NA,d_P2R3_NA_vs_P2R2_NA,d_P2R4_NA_vs_P2R3_NA,z_d_P2R1_EDA_TD_P_AUC,z_d_P2R2_EDA_TD_P_AUC,z_d_P2R3_EDA_TD_P_AUC,z_d_P2R4_EDA_TD_P_AUC,z_d_P2R1_EDA_TD_T_AUC,z_d_P2R2_EDA_TD_T_AUC,z_d_P2R3_EDA_TD_T_AUC,z_d_P2R4_EDA_TD_T_AUC,z_d_P2R1_HR_TD_Median,z_d_P2R2_HR_TD_Median,z_d_P2R3_HR_TD_Median,z_d_P2R4_HR_TD_Median,z_d_P2R1_TEMP_TD_Mean,z_d_P2R2_TEMP_TD_Mean,z_d_P2R3_TEMP_TD_Mean,z_d_P2R4_TEMP_TD_Mean,z_d_P2R1_PA,z_d_P2R2_PA,z_d_P2R3_PA,z_d_P2R4_PA,z_d_P2R1_NA,z_d_P2R2_NA,z_d_P2R3_NA,z_d_P2R4_NA,z_d_P2R2_EDA_TD_P_AUC_vs_P2R1_EDA_TD_P_AUC,z_d_P2R3_EDA_TD_P_AUC_vs_P2R2_EDA_TD_P_AUC,z_d_P2R4_EDA_TD_P_AUC_vs_P2R3_EDA_TD_P_AUC,z_d_P2R2_EDA_TD_T_AUC_vs_P2R1_EDA_TD_T_AUC,z_d_P2R3_EDA_TD_T_AUC_vs_P2R2_EDA_TD_T_AUC,z_d_P2R4_EDA_TD_T_AUC_vs_P2R3_EDA_TD_T_AUC,z_d_P2R2_HR_TD_Median_vs_P2R1_HR_TD_Median,z_d_P2R3_HR_TD_Median_vs_P2R2_HR_TD_Median,z_d_P2R4_HR_TD_Median_vs_P2R3_HR_TD_Median,z_d_P2R2_TEMP_TD_Mean_vs_P2R1_TEMP_TD_Mean,z_d_P2R3_TEMP_TD_Mean_vs_P2R2_TEMP_TD_Mean,z_d_P2R4_TEMP_TD_Mean_vs_P2R3_TEMP_TD_Mean,z_d_P2R2_PA_vs_P2R1_PA,z_d_P2R3_PA_vs_P2R2_PA,z_d_P2R4_PA_vs_P2R3_PA,z_d_P2R2_NA_vs_P2R1_NA,z_d_P2R3_NA_vs_P2R2_NA,z_d_P2R4_NA_vs_P2R3_NA
1,77.35,29.65380247,0.370729398,9,145.3097724,71.53,30.20159717,1.956401742,17,161.9810303,72.91,30.33257812,1.484085375,20,192.3411804,76.61,30.93729299,0.614382122,15,213.2353798,75.58,31.06549206,1.521929467,15,236.2120583,2.178571429,1.926470588,2.192307692,1.910714286,2.2,1.4,2.2,1.8,3.6,2.2,2.8,1.6,3.0,1.2,11.1116332,0.07989095,0.000935298,0.00587118,0.7483314773547883,0.22572958635023047,1.585672344,1.113355977,0.243652724,1.1512000690000002,16.671257899999972,47.031408,67.92560739999999,90.90228589999998,-5.819999999999993,-4.439999999999998,-0.7399999999999949,-1.769999999999996,0.5477947000000007,0.6787756500000022,1.2834905200000009,1.4116895900000017,0.0,1.4,0.5999999999999996,0.7999999999999998,0.40000000000000013,0.8000000000000003,0.20000000000000018,-0.19999999999999996,-0.4723163669999999,-0.8697032530000001,0.9075473450000001,30.360150100000027,20.89419939999999,22.97667849999999,1.3799999999999955,3.700000000000003,-1.0300000000000011,0.13098095000000143,0.6047148699999987,0.12819907000000086,1.4,-0.8000000000000003,0.20000000000000018,0.40000000000000013,-0.6000000000000001,-0.40000000000000013,1695.3659090471701,1190.3756631576248,260.5081204065442,1230.8377319314275,2839.5072029813377,8010.554607421335,11569.328039678563,15482.796626913156,-0.5237753888420285,-0.39958122447742406,-0.06659687074623692,-0.15929251516329715,6.856780398781098,8.49627711273933,16.065530826708166,17.670206575338028,0.0,1.8708286933869704,0.8017837257372726,1.0690449676496971,1.7720317769039837,3.5440635538079674,0.8860158884519924,-0.8860158884519914,-0.0005104260351194549,-0.0015107802696772018,0.0017635723658198132,0.004617605774154122,0.006026280295371335,0.0060955392774745525,0.15765413890256558,0.5273345879552235,-0.13234681689872538,0.1959388121182799,1.0226372926277119,0.30599478756086246,1.8199417627953711,-1.0737157612569646,0.3258974536979348,1.280772637471577,-1.792350577616088,-1.2276996280897028
2,67.055,33.96486842,7.053794021,21,549.1248198,68.58,34.12394035,73.97040045,41,1062.936048,73.95,33.60148003,403.0325512,31,6142.84612,76.67,32.70563549,170.8650163,23,1620.253359,70.23,32.24796664,512.8618341,35,2928.58481,1.75,1.777777778,2.053571429,1.043478261,2.0,1.0,3.4,1.0,2.6,1.0,3.2,1.0,3.6,1.0,4.01776316,0.037042729,0.009547902,0.036652239,0.7483314773547883,0.22572958635023047,66.916606429,395.978757179,163.81122227900002,505.808040079,513.8112282000001,5593.7213002,1071.1285392,2379.4599902,1.5249999999999915,6.894999999999996,9.614999999999995,3.174999999999997,0.1590719299999961,-0.36338839000000434,-1.2592329300000031,-1.7169017800000006,1.4,0.6000000000000001,1.2000000000000002,1.6,0.0,0.0,0.0,0.0,329.06215075,-232.1675349,341.99681780000003,5079.910072000001,-4522.592761,1308.3314509999998,5.3700000000000045,2.719999999999999,-6.439999999999998,-0.5224603200000004,-0.8958445399999988,-0.45766884999999746,-0.7999999999999998,0.6000000000000001,0.3999999999999999,0.0,0.0,0.0,7008.514166672427,41472.85520724867,17156.77666978568,52975.830719565405,14018.549540725193,152616.08711544197,29224.09567393686,64919.908172594856,0.3795644340568824,1.7161290313588309,2.3931226448897984,0.79024070697089,4.2942821518359535,-9.809978903012365,-33.994064800139405,-46.34922497205863,1.8708286933869704,0.8017837257372732,1.6035674514745464,2.138089935299395,0.0,0.0,0.0,0.0,0.3556131031029947,-0.4033032298966382,0.664578151644963,0.7726253659283082,-1.3044008587188727,0.3470904529358225,0.6134802361643338,0.38766218357789356,-0.8274888357551361,-0.7815659794782017,-1.5149685917280629,-1.0923970238549507,-1.0399667215973547,0.8052868209427232,0.651794907395869,0.0,0.0,0.0
3,74.685,30.90924466,82.01862885,30,1541.62514,103.55,31.72786164,202.4810704,43,2001.758862,71.38,33.21427124,92.52509483,42,1366.144497,84.42,33.77222222,46.20252447,39,894.3841377,69.9,33.17161812,115.7302524,29,1037.97251,1.65625,1.564285714,1.955882353,2.08,4.0,1.0,4.2,1.2,4.8,1.0,4.8,1.2,4.8,1.0,12.4581364,0.280267663,0.081831117,0.160142795,0.7483314773547883,0.22572958635023047,120.46244155,10.506465980000002,-35.81610438,33.71162355,460.1337219999998,-175.4806430000001,-647.2410023000001,-503.65263000000004,28.864999999999995,-3.305000000000007,9.735,-4.784999999999997,0.8186169800000016,2.3050265800000034,2.8629775600000045,2.262373459999999,0.20000000000000018,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.19999999999999996,0.0,0.19999999999999996,0.0,-109.95597556999999,-46.32257036,69.52772793,-635.6143649999999,-471.7603593,143.58837230000006,-32.17,13.040000000000006,-14.519999999999996,1.4864096000000018,0.5579509800000011,-0.6006041000000053,0.5999999999999996,0.0,0.0,-0.19999999999999996,0.19999999999999996,-0.19999999999999996,1472.0859981661988,128.39206362049296,-437.6831906131747,411.96582407643297,2873.2714575139007,-1095.7760728479861,-4041.649218748805,-3145.0221035545187,2.316959701934231,-0.265288474446307,0.7814170344129479,-0.38408633894873684,2.920839925796226,8.224375781803994,10.215154789370063,8.072188691993336,0.2672612419124246,1.0690449676496971,1.0690449676496971,1.0690449676496971,0.8860158884519914,0.0,0.8860158884519914,0.0,-0.11882796483291622,-0.08046793558517591,0.1351083007527132,-0.09667332184761836,-0.1360645652394268,0.038092910737437084,-3.675169310504023,1.8584981153881384,-1.8657046421063008,2.2235701553943894,0.9435545707784249,-1.4335651887933616,0.7799750411980158,0.0,0.0,-0.6403863187357882,0.5974501925386958,-0.6138498140448511
4,77.9,32.38947368,2.689749096,24,596.7381567,79.68,32.42855573,214.6226797,43,1600.13039,81.78,32.71147173,461.4759725,31,3153.997735,79.57,32.84242734,833.6515187,30,3636.579443,78.02,33.4794061,1999.003457,60,7101.071524,1.661290323,1.523809524,1.704545455,1.329545455,3.6,1.2,3.6,1.2,3.8,1.2,3.6,1.4,4.0,1.2,2.26400362,0.085955597,0.003809802,0.070105464,0.7483314773547883,0.22572958635023047,211.93293060399998,458.786223404,830.961769604,1996.313707904,1003.3922333,2557.2595782999997,3039.8412863000003,6504.3333673,1.7800000000000011,3.8799999999999955,1.6699999999999875,0.11999999999999034,0.03908204999999754,0.3219980499999977,0.4529536599999986,1.0899324199999967,0.0,0.19999999999999973,0.0,0.3999999999999999,0.0,0.0,0.19999999999999996,0.0,246.85329280000002,372.1755462,1165.3519383,1553.867345,482.58170800000016,3464.492081,2.0999999999999943,-2.210000000000008,-1.5499999999999972,0.28291600000000017,0.1309556100000009,0.6369787599999981,0.19999999999999973,-0.19999999999999973,0.3999999999999999,0.0,0.19999999999999996,-0.19999999999999996,55628.33202460389,120422.58978393102,218111.53692606595,523994.08365684096,14312.6109728052,36477.321914594264,43360.97520586983,92779.26421398479,0.7862178241570131,1.7137781784995536,0.7376313294057311,0.053003448819569615,0.45467719804211865,3.7460975345211986,5.269623803555208,12.680179744432428,0.0,0.267261241912424,0.0,0.5345224838248486,0.0,0.0,0.8860158884519914,0.0,0.2667710803680151,0.6465141645909145,2.2645457409612453,0.23633436596683782,0.1391856458413547,0.9191035839333809,0.23990847224303471,-0.3149755241570398,-0.19916268562429487,0.4232235677726777,0.22145989309773664,1.5203868510667018,0.2599916803993384,-0.2684289403142407,0.651794907395869,0.0,0.5974501925386958,-0.6138498140448511
5,69.83,31.74457627,297.0191104,12,10204.31329,75.5,32.03583144,843.722674,40,10115.45212,75.55,32.44303993,456.3687076,27,8667.308223,79.275,33.66442464,953.4413383,34,7073.902289,74.975,33.25565323,495.2481752,25,8155.692655,1.545454545,1.739130435,1.510416667,2.239130435,2.8,1.4,2.8,1.6,3.0,1.6,4.0,1.4,3.6,1.8,2.91705512,0.084396329,0.59363568,0.568011383,0.7483314773547883,0.22572958635023047,546.7035636,159.3495972,656.4222279,198.2290648,-88.86117000000013,-1537.005067,-3130.4110010000004,-2048.620635,5.670000000000002,5.719999999999999,9.445000000000007,5.144999999999996,0.291255170000003,0.698463659999998,1.9198483700000004,1.5110769600000005,0.0,0.20000000000000018,1.2000000000000002,0.8000000000000003,0.20000000000000018,0.20000000000000018,0.0,0.40000000000000013,-387.3539664,497.0726307,-458.1931631,-1448.143897,-1593.4059340000003,1081.7903660000002,0.04999999999999716,3.7250000000000085,-4.300000000000011,0.40720848999999504,1.2213847100000024,-0.40877140999999995,0.20000000000000018,1.0,-0.3999999999999999,0.0,-0.20000000000000018,0.40000000000000013,920.9412136413365,268.42995218885767,1105.7661289833522,333.92377088924303,-156.4425866444302,-2705.9406078839093,-5511.176526897174,-3606.6541909425086,1.9437411247820375,1.9608816990746472,3.2378544838741363,1.7637650947096248,3.451040743727171,8.275995748582833,22.748008032434683,17.90453421261961,0.0,0.2672612419124246,1.6035674514745464,1.0690449676496978,0.8860158884519924,0.8860158884519924,0.0,1.7720317769039837,-0.4186082953533274,0.8634755825825364,-0.8903742654337559,-0.22025443216083593,-0.4595682561827167,0.2869908140093694,0.0057121064819767075,0.5308976594954623,-0.552515837538369,0.6091568874334521,2.0654917136257755,-0.9756850869815463,0.25999168039933895,1.3421447015712051,-0.651794907395869,0.0,-0.5974501925386965,1.2276996280897028
6,91.95,33.7989694,114.0128487,21,6046.616243,88.53,34.05254135,540.6252729,24,9387.058862,83.33,34.52983713,94.73609712,19,5715.572389,83.26,34.99856675,36.85895368,13,5615.476796,87.085,34.8965154,228.7034479,20,7165.438771,2.181818182,2.171052632,2.525,2.078947368,1.8,1.2,2.4,1.2,1.8,1.2,2.0,1.0,2.0,1.2,1.92324961,0.065710527,0.166576004,0.557352688,0.7483314773547883,0.22572958635023047,426.6124242,-19.27675158000001,-77.15389502000001,114.69059919999998,3340.4426189999995,-331.04385400000047,-431.1394470000005,1118.8225279999997,-3.4200000000000017,-8.620000000000005,-8.689999999999998,-4.865000000000009,0.2535719500000013,0.7308677299999999,1.1995973500000048,1.0975460000000012,0.5999999999999999,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,-0.19999999999999996,0.0,-445.88917578,-57.87714344,191.84449422,-3671.486473,-100.09559300000001,1549.9619750000002,-5.200000000000003,-0.06999999999999318,3.8249999999999886,0.4772957799999986,0.46872962000000484,-0.10205135000000354,-0.5999999999999999,0.19999999999999996,0.0,0.0,-0.19999999999999996,0.19999999999999996,2561.067704565659,-115.72346026502119,-463.17532638134367,688.5181325396662,5993.409004604997,-593.9575804109164,-773.5486995623863,2007.3869779201632,-1.7782403189984277,-4.481997529171475,-4.518394260846879,-2.5295728514407494,3.8589243090380525,11.122536424034461,18.255786473908582,16.702742317071984,0.801783725737273,0.0,0.2672612419124243,0.2672612419124243,0.0,0.0,-0.8860158884519914,0.0,-0.4818665199803824,-0.10053963357364754,0.372797794412666,-0.5584121646833866,-0.028869452626617956,0.4111932060678194,-0.5940590741256117,-0.009976600312665411,0.4914821112986626,0.7140028237867153,0.79267174225635,-0.24358352337150413,-0.7799750411980161,0.26842894031424097,0.0,0.0,-0.5974501925386958,0.6138498140448511
7,77.93,35.21695067,256.8476862,20,7034.381072,75.5,34.10267688,169.7584493,44,3467.752522,74.615,33.96173062,36.11623256,34,1708.830364,70.57,33.03678125,29.42431572,27,887.2216981,72.85,32.7113141,14.4048447,31,833.8331915,2.040540541,1.95,1.619565217,1.805555556,1.4,1.2,2.4,1.4,2.2,1.2,2.4,1.0,1.4,1.0,1.53069022,0.191344113,0.277409146,0.922401615,0.7483314773547883,0.22572958635023047,-87.0892369,-220.73145363999998,-227.42337048,-242.4428415,-3566.62855,-5325.550708000001,-6147.1593739,-6200.5478805,-2.430000000000007,-3.315000000000012,-7.360000000000014,-5.0800000000000125,-1.1142737900000057,-1.2552200500000055,-2.1801694200000057,-2.50563657,1.0,0.8000000000000003,1.0,0.0,0.19999999999999996,0.0,-0.19999999999999996,-0.19999999999999996,-133.64221673999998,-6.691916840000001,-15.01947102,-1758.9221580000003,-821.6086658999999,-53.38850660000003,-0.8850000000000051,-4.045000000000002,2.280000000000001,-0.14094625999999977,-0.9249493700000002,-0.3254671499999944,-0.19999999999999973,0.19999999999999973,-1.0,-0.19999999999999996,-0.19999999999999996,0.0,-313.9378717527936,-795.6891718342985,-819.8120853592909,-873.9540314218767,-3866.6763934492897,-5773.5704506545135,-6664.298147288045,-6722.1780400937405,-1.5875191258489956,-2.1656896716828906,-4.808288381172262,-3.318764263091726,-5.8234025208813485,-6.560013947228183,-11.39397176018687,-13.094923751325446,1.3363062095621219,1.0690449676496978,1.3363062095621219,0.0,0.8860158884519914,0.0,-0.8860158884519914,-0.8860158884519914,-0.1444253715966888,-0.011624673005785123,-0.029186272414364806,-0.26752203419008863,-0.23696740033118963,-0.014163567590764248,-0.10110428473099406,-0.5765049752105077,0.2929618859505764,-0.21084625479441008,-1.5641879611039,-0.7768484702914534,-0.2599916803993384,0.2684289403142407,-1.6294872684896726,-0.6403863187357882,-0.5974501925386958,0.0
